county,offenders,pop,off_rate
Alameda,2273,1610765,1.41
Alpine,2,1164,1.72
Amador,46,37765,1.22
Butte,521,224121,2.32
Calaveras,76,45282,1.68
Colusa,27,21873,1.23
Contra Costa,1172,1111143,1.05
Del Norte,95,26762,3.55
El Dorado,209,182743,1.14
Fresno,16,974871,0.02
Glenn,86,28579,3.01
Humboldt,385,135052,2.85
Imperial,147,184500,0.80
Inyo,26,18619,1.40
Kern,2097,880387,2.38
Kings,239,149738,1.60
Lake,228,64669,3.53
Lassen,62,31421,1.97
Los Angeles,8908,10155069,0.88
Madera,367,154850,2.37
Marin,65,261798,0.25
Mariposa,53,18180,2.92
Mendocino,148,88163,1.68
Merced,711,269280,2.64
Modoc,42,9635,4.36
Mono,8,13756,0.58
Monterey,598,432637,1.38
Napa,105,140898,0.75
Nevada,130,98037,1.33
Orange,2165,3151910,0.69
Placer,301,370238,0.81
Plumas,38,19886,1.91
Riverside,3360,2317924,1.45
Sacramento,3509,1481803,2.37
San Benito,89,56445,1.58
San Bernardino,4266,2121088,2.01
San Diego,3393,3263848,1.04
San Francisco,726,857508,0.85
San Joaquin,1160,723761,1.60
San Luis Obispo,277,276375,1.00
San Mateo,428,759155,0.56
Santa Barbara,384,443018,0.87
Santa Clara,2020,1903974,1.06
Santa Cruz,244,273594,0.89
Shasta,532,179036,2.97
Sierra,12,3203,3.75
Siskiyou,148,44776,3.31
Solano,570,426704,1.34
Sonoma,599,499352,1.20
Stanislaus,724,534902,1.35
Sutter,178,96948,1.84
Tehama,186,63845,2.91
Trinity,45,13693,3.29
Tulare,742,461589,1.61
Tuolumne,111,55003,2.02
Ventura,609,850491,0.72
Yolo,245,211813,1.16
Yuba,289,74003,3.91